loaded 1945 candidate prompts (skip_lines=55)
  gen 25 (skip 0) | gen_tok 6023 | 79.9 tok/s aggregate | 75.4s
  gen 50 (skip 0) | gen_tok 12423 | 85.6 tok/s aggregate | 145.1s
  gen 75 (skip 0) | gen_tok 18656 | 86.3 tok/s aggregate | 216.2s
  gen 100 (skip 0) | gen_tok 24911 | 75.8 tok/s aggregate | 328.7s
  gen 125 (skip 0) | gen_tok 31303 | 78.4 tok/s aggregate | 399.4s
  gen 150 (skip 0) | gen_tok 37636 | 79.9 tok/s aggregate | 470.9s
  gen 175 (skip 0) | gen_tok 43670 | 81.4 tok/s aggregate | 536.2s
  gen 200 (skip 0) | gen_tok 49989 | 82.3 tok/s aggregate | 607.6s
  gen 225 (skip 0) | gen_tok 56383 | 83.3 tok/s aggregate | 676.9s
  gen 250 (skip 0) | gen_tok 62402 | 83.7 tok/s aggregate | 745.8s
  gen 275 (skip 0) | gen_tok 68644 | 84.2 tok/s aggregate | 814.9s
  gen 300 (skip 0) | gen_tok 74957 | 84.7 tok/s aggregate | 885.2s
  gen 325 (skip 0) | gen_tok 81128 | 84.9 tok/s aggregate | 955.5s
  gen 350 (skip 0) | gen_tok 86660 | 85.3 tok/s aggregate | 1016.4s
  gen 375 (skip 0) | gen_tok 92610 | 84.8 tok/s aggregate | 1092.6s
  gen 400 (skip 0) | gen_tok 98901 | 85.0 tok/s aggregate | 1163.9s
  gen 425 (skip 0) | gen_tok 105301 | 85.2 tok/s aggregate | 1235.9s
  gen 450 (skip 0) | gen_tok 111302 | 85.2 tok/s aggregate | 1305.9s
  gen 475 (skip 0) | gen_tok 117648 | 85.5 tok/s aggregate | 1376.6s
  gen 500 (skip 0) | gen_tok 123321 | 85.4 tok/s aggregate | 1444.3s
  gen 525 (skip 0) | gen_tok 129142 | 85.6 tok/s aggregate | 1507.8s
  gen 550 (skip 0) | gen_tok 135522 | 85.9 tok/s aggregate | 1577.3s
  gen 575 (skip 0) | gen_tok 141321 | 85.9 tok/s aggregate | 1645.7s
  gen 600 (skip 0) | gen_tok 147667 | 86.1 tok/s aggregate | 1715.3s
  gen 625 (skip 0) | gen_tok 153390 | 86.2 tok/s aggregate | 1780.2s
  gen 650 (skip 0) | gen_tok 159642 | 86.3 tok/s aggregate | 1849.6s
  gen 675 (skip 0) | gen_tok 165875 | 86.4 tok/s aggregate | 1919.2s
  gen 700 (skip 0) | gen_tok 171540 | 86.4 tok/s aggregate | 1986.1s
  gen 725 (skip 0) | gen_tok 176995 | 86.3 tok/s aggregate | 2050.9s
  gen 750 (skip 0) | gen_tok 183123 | 86.5 tok/s aggregate | 2117.5s
  gen 775 (skip 0) | gen_tok 189361 | 86.4 tok/s aggregate | 2190.8s
  gen 800 (skip 0) | gen_tok 195336 | 86.6 tok/s aggregate | 2255.8s
  gen 825 (skip 0) | gen_tok 201571 | 86.6 tok/s aggregate | 2328.2s
  gen 850 (skip 0) | gen_tok 207463 | 86.7 tok/s aggregate | 2394.1s
