loaded 10000 candidate prompts (skip_lines=0)
  gen 25 (skip 0) | gen_tok 10873 | 80.2 tok/s aggregate | 135.6s
  gen 50 (skip 0) | gen_tok 20916 | 91.0 tok/s aggregate | 229.8s
  gen 75 (skip 0) | gen_tok 31832 | 98.8 tok/s aggregate | 322.1s
  gen 100 (skip 0) | gen_tok 43220 | 104.6 tok/s aggregate | 413.0s
  gen 125 (skip 0) | gen_tok 53222 | 109.0 tok/s aggregate | 488.3s
  gen 150 (skip 0) | gen_tok 64977 | 114.0 tok/s aggregate | 569.9s
  gen 175 (skip 0) | gen_tok 76360 | 117.0 tok/s aggregate | 652.4s
  gen 200 (skip 0) | gen_tok 87284 | 120.5 tok/s aggregate | 724.1s
  gen 225 (skip 0) | gen_tok 98523 | 115.6 tok/s aggregate | 852.2s
  gen 250 (skip 0) | gen_tok 110123 | 114.5 tok/s aggregate | 962.2s
  gen 275 (skip 0) | gen_tok 121881 | 115.9 tok/s aggregate | 1051.5s
  gen 300 (skip 0) | gen_tok 132744 | 116.7 tok/s aggregate | 1137.8s
  gen 325 (skip 0) | gen_tok 144319 | 117.7 tok/s aggregate | 1226.3s
  gen 350 (skip 0) | gen_tok 155857 | 118.3 tok/s aggregate | 1317.8s
  gen 375 (skip 0) | gen_tok 167536 | 118.8 tok/s aggregate | 1409.6s
  gen 400 (skip 0) | gen_tok 178694 | 119.6 tok/s aggregate | 1494.6s
  gen 425 (skip 0) | gen_tok 189644 | 119.9 tok/s aggregate | 1582.0s
  gen 450 (skip 0) | gen_tok 200486 | 120.2 tok/s aggregate | 1667.7s
  gen 475 (skip 0) | gen_tok 211450 | 120.8 tok/s aggregate | 1751.0s
  gen 500 (skip 0) | gen_tok 223106 | 121.6 tok/s aggregate | 1834.6s
  gen 525 (skip 0) | gen_tok 235328 | 122.3 tok/s aggregate | 1923.9s
  gen 550 (skip 0) | gen_tok 246616 | 122.6 tok/s aggregate | 2012.0s
  gen 575 (skip 0) | gen_tok 257445 | 122.8 tok/s aggregate | 2096.2s
  gen 600 (skip 0) | gen_tok 268796 | 123.0 tok/s aggregate | 2184.9s
  gen 625 (skip 0) | gen_tok 280189 | 123.7 tok/s aggregate | 2265.4s
  gen 650 (skip 0) | gen_tok 291638 | 123.9 tok/s aggregate | 2354.0s
  gen 675 (skip 0) | gen_tok 302344 | 124.2 tok/s aggregate | 2435.1s
  gen 700 (skip 0) | gen_tok 313150 | 124.8 tok/s aggregate | 2509.3s
  gen 725 (skip 0) | gen_tok 323644 | 124.5 tok/s aggregate | 2599.5s
  gen 750 (skip 0) | gen_tok 334641 | 124.4 tok/s aggregate | 2689.2s
  gen 775 (skip 0) | gen_tok 345345 | 124.7 tok/s aggregate | 2768.6s
  gen 800 (skip 0) | gen_tok 357226 | 125.2 tok/s aggregate | 2854.2s
  gen 825 (skip 0) | gen_tok 368145 | 125.2 tok/s aggregate | 2941.0s
  gen 850 (skip 0) | gen_tok 378680 | 125.4 tok/s aggregate | 3020.6s
  gen 875 (skip 0) | gen_tok 390378 | 125.8 tok/s aggregate | 3102.6s
  gen 900 (skip 0) | gen_tok 400971 | 125.9 tok/s aggregate | 3185.7s
  gen 925 (skip 0) | gen_tok 411936 | 126.1 tok/s aggregate | 3266.3s
  gen 950 (skip 0) | gen_tok 423647 | 126.2 tok/s aggregate | 3357.2s
  gen 975 (skip 0) | gen_tok 435499 | 126.5 tok/s aggregate | 3443.0s
  gen 1000 (skip 0) | gen_tok 446575 | 126.1 tok/s aggregate | 3542.4s
  gen 1025 (skip 0) | gen_tok 458023 | 125.3 tok/s aggregate | 3654.1s
  gen 1050 (skip 0) | gen_tok 468329 | 124.3 tok/s aggregate | 3768.4s
  gen 1075 (skip 0) | gen_tok 479555 | 123.1 tok/s aggregate | 3897.1s
  gen 1100 (skip 0) | gen_tok 490987 | 121.9 tok/s aggregate | 4026.6s
  gen 1125 (skip 0) | gen_tok 502158 | 121.7 tok/s aggregate | 4126.5s
  gen 1150 (skip 0) | gen_tok 511695 | 120.8 tok/s aggregate | 4237.3s
  gen 1175 (skip 0) | gen_tok 522232 | 119.9 tok/s aggregate | 4357.4s
  gen 1200 (skip 0) | gen_tok 531808 | 118.4 tok/s aggregate | 4490.3s
  gen 1225 (skip 0) | gen_tok 542443 | 116.6 tok/s aggregate | 4650.3s
  gen 1250 (skip 0) | gen_tok 553002 | 114.9 tok/s aggregate | 4812.2s
  gen 1275 (skip 0) | gen_tok 564881 | 113.1 tok/s aggregate | 4992.7s
  gen 1300 (skip 0) | gen_tok 575957 | 111.4 tok/s aggregate | 5172.4s
  gen 1325 (skip 0) | gen_tok 587066 | 111.1 tok/s aggregate | 5284.9s
  gen 1350 (skip 0) | gen_tok 598244 | 110.4 tok/s aggregate | 5420.3s
  gen 1375 (skip 0) | gen_tok 608842 | 109.3 tok/s aggregate | 5570.1s
  gen 1400 (skip 0) | gen_tok 619314 | 108.6 tok/s aggregate | 5704.7s
  gen 1425 (skip 0) | gen_tok 630545 | 108.8 tok/s aggregate | 5795.1s
  gen 1450 (skip 0) | gen_tok 641270 | 108.9 tok/s aggregate | 5888.3s
  gen 1475 (skip 0) | gen_tok 652443 | 109.3 tok/s aggregate | 5971.4s
  gen 1500 (skip 0) | gen_tok 664069 | 109.5 tok/s aggregate | 6065.2s
  gen 1525 (skip 0) | gen_tok 674835 | 109.8 tok/s aggregate | 6144.1s
  gen 1550 (skip 0) | gen_tok 686334 | 110.2 tok/s aggregate | 6226.4s
  gen 1575 (skip 0) | gen_tok 698390 | 110.5 tok/s aggregate | 6317.5s
  gen 1600 (skip 0) | gen_tok 710640 | 110.7 tok/s aggregate | 6419.1s
  gen 1625 (skip 0) | gen_tok 721502 | 111.0 tok/s aggregate | 6499.6s
  gen 1650 (skip 0) | gen_tok 732472 | 111.1 tok/s aggregate | 6590.4s
  gen 1675 (skip 0) | gen_tok 744063 | 111.5 tok/s aggregate | 6672.1s
  gen 1700 (skip 0) | gen_tok 755428 | 111.6 tok/s aggregate | 6771.1s
  gen 1725 (skip 0) | gen_tok 766398 | 111.4 tok/s aggregate | 6879.0s
  gen 1750 (skip 0) | gen_tok 777555 | 111.7 tok/s aggregate | 6960.0s
  gen 1775 (skip 0) | gen_tok 789094 | 111.9 tok/s aggregate | 7048.8s
  gen 1800 (skip 0) | gen_tok 799978 | 112.2 tok/s aggregate | 7133.1s
  gen 1825 (skip 0) | gen_tok 812163 | 112.4 tok/s aggregate | 7226.9s
  gen 1850 (skip 0) | gen_tok 823441 | 112.5 tok/s aggregate | 7319.9s
  gen 1875 (skip 0) | gen_tok 834419 | 112.8 tok/s aggregate | 7395.8s
  gen 1900 (skip 0) | gen_tok 846137 | 113.1 tok/s aggregate | 7480.8s
  gen 1925 (skip 0) | gen_tok 857423 | 112.9 tok/s aggregate | 7597.1s
