0.00.938.819 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.939.137 W srv  llama_server: -----------------
0.00.939.139 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.939.139 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.939.139 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.939.140 W srv  llama_server: -----------------
0.00.940.506 I srv    load_model: loading model '/home/REDACTED/Bonsai-demo/models/bonsai2-gguf/27B/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.08.368.481 I cmn          init: llama threadpool init, n_threads = 20
0.09.282.420 I srv    load_model: initializing, n_slots = 12, n_ctx_slot = 1024, kv_unified = 'false'
0.09.286.239 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.09.286.284 I srv  llama_server: model loaded
0.09.286.288 I srv  llama_server: listening on http://127.0.0.1:8095
1.54.965.156 I slot get_availabl: id 11 | task -1 | selected slot by LRU, t_last = -1
1.54.965.349 I slot launch_slot_: id 11 | task 0 | processing task, is_child = 0
2.07.218.721 I slot print_timing: id 11 | task 0 | prompt eval time =     519.64 ms /    18 tokens (   28.87 ms per token,    34.64 tokens per second)
2.07.218.724 I slot print_timing: id 11 | task 0 |        eval time =   11733.71 ms /    64 tokens (  186.25 ms per token,     5.37 tokens per second)
2.07.218.725 I slot print_timing: id 11 | task 0 |       total time =   12253.34 ms /    82 tokens
2.07.218.730 I slot print_timing: id 11 | task 0 |    graphs reused =         63
2.07.218.758 I slot      release: id 11 | task 0 | stop processing: n_tokens = 81, truncated = 0
2.07.597.452 I slot get_availabl: id 11 | task -1 | selected slot by LCP similarity, f_sim_best = 0.176 (> 0.100 thold), f_keep = 0.037
2.07.797.340 I slot launch_slot_: id 11 | task 66 | processing task, is_child = 0
2.07.797.379 I slot get_availabl: id 10 | task -1 | selected slot by LRU, t_last = -1
2.07.797.404 I slot launch_slot_: id 10 | task 67 | processing task, is_child = 0
2.07.797.417 I slot get_availabl: id  9 | task -1 | selected slot by LRU, t_last = -1
2.07.797.453 I slot launch_slot_: id  9 | task 68 | processing task, is_child = 0
2.07.797.464 I slot get_availabl: id  8 | task -1 | selected slot by LRU, t_last = -1
2.07.797.499 I slot launch_slot_: id  8 | task 69 | processing task, is_child = 0
2.07.797.507 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = -1
2.07.797.534 I slot launch_slot_: id  7 | task 70 | processing task, is_child = 0
2.07.797.546 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = -1
2.07.797.582 I slot launch_slot_: id  6 | task 71 | processing task, is_child = 0
2.07.797.589 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = -1
2.07.797.609 I slot launch_slot_: id  5 | task 72 | processing task, is_child = 0
2.07.797.617 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = -1
2.07.797.647 I slot launch_slot_: id  4 | task 73 | processing task, is_child = 0
2.07.797.656 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.07.797.677 I slot launch_slot_: id  3 | task 74 | processing task, is_child = 0
2.07.797.685 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
2.07.797.705 I slot launch_slot_: id  2 | task 75 | processing task, is_child = 0
2.07.797.712 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
2.07.797.731 I slot launch_slot_: id  1 | task 76 | processing task, is_child = 0
2.07.797.739 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.07.797.772 I slot launch_slot_: id  0 | task 77 | processing task, is_child = 0
2.42.943.975 I slot print_timing: id  0 | task 77 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.20 t/s
2.42.944.575 I slot print_timing: id  1 | task 76 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.20 t/s
2.42.945.080 I slot print_timing: id  2 | task 75 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.20 t/s
2.42.945.752 I slot print_timing: id  3 | task 74 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.20 t/s
2.42.946.330 I slot print_timing: id  4 | task 73 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.42.946.936 I slot print_timing: id  5 | task 72 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.42.947.614 I slot print_timing: id  6 | task 71 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.42.948.228 I slot print_timing: id  7 | task 70 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.42.948.853 I slot print_timing: id  8 | task 69 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.42.949.509 I slot print_timing: id  9 | task 68 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.42.949.942 I slot print_timing: id 10 | task 67 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.42.950.525 I slot print_timing: id 11 | task 66 | n_gen =    100, tg =   3.17 t/s, tg_3s =   3.21 t/s
2.46.033.213 I slot print_timing: id  0 | task 77 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.88 t/s
2.46.033.762 I slot print_timing: id  1 | task 76 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.88 t/s
2.46.034.204 I slot print_timing: id  2 | task 75 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.88 t/s
2.46.034.852 I slot print_timing: id  3 | task 74 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.88 t/s
2.46.035.324 I slot print_timing: id  4 | task 73 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.88 t/s
2.46.035.575 I slot print_timing: id  5 | task 72 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.89 t/s
2.46.035.909 I slot print_timing: id  6 | task 71 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.89 t/s
2.46.036.402 I slot print_timing: id  7 | task 70 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.89 t/s
2.46.036.919 I slot print_timing: id  8 | task 69 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.89 t/s
2.46.037.436 I slot print_timing: id  9 | task 68 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.89 t/s
2.46.037.850 I slot print_timing: id 10 | task 67 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.89 t/s
2.46.038.400 I slot print_timing: id 11 | task 66 | n_gen =    112, tg =   3.24 t/s, tg_3s =   3.89 t/s
2.49.143.518 I slot print_timing: id  0 | task 77 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.144.301 I slot print_timing: id  1 | task 76 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.145.021 I slot print_timing: id  2 | task 75 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.145.833 I slot print_timing: id  3 | task 74 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.146.507 I slot print_timing: id  4 | task 73 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.147.432 I slot print_timing: id  5 | task 72 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.147.943 I slot print_timing: id  6 | task 71 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.148.657 I slot print_timing: id  7 | task 70 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.149.273 I slot print_timing: id  8 | task 69 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.150.124 I slot print_timing: id  9 | task 68 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.86 t/s
2.49.151.057 I slot print_timing: id 10 | task 67 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.85 t/s
2.49.152.072 I slot print_timing: id 11 | task 66 | n_gen =    124, tg =   3.29 t/s, tg_3s =   3.85 t/s
2.52.232.594 I slot print_timing: id  0 | task 77 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.88 t/s
2.52.233.176 I slot print_timing: id  1 | task 76 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.88 t/s
2.52.233.830 I slot print_timing: id  2 | task 75 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.88 t/s
2.52.234.342 I slot print_timing: id  3 | task 74 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.234.737 I slot print_timing: id  4 | task 73 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.235.084 I slot print_timing: id  5 | task 72 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.235.642 I slot print_timing: id  6 | task 71 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.236.174 I slot print_timing: id  7 | task 70 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.236.862 I slot print_timing: id  8 | task 69 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.237.555 I slot print_timing: id  9 | task 68 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.238.084 I slot print_timing: id 10 | task 67 | n_gen =    136, tg =   3.33 t/s, tg_3s =   3.89 t/s
2.52.238.640 I slot print_timing: id 11 | task 66 | n_gen =    136, tg =   3.34 t/s, tg_3s =   3.89 t/s
2.55.341.434 I slot print_timing: id  0 | task 77 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.342.003 I slot print_timing: id  1 | task 76 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.342.443 I slot print_timing: id  2 | task 75 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.342.996 I slot print_timing: id  3 | task 74 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.343.510 I slot print_timing: id  4 | task 73 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.344.130 I slot print_timing: id  5 | task 72 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.344.597 I slot print_timing: id  6 | task 71 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.345.164 I slot print_timing: id  7 | task 70 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.345.827 I slot print_timing: id  8 | task 69 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.346.423 I slot print_timing: id  9 | task 68 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.346.904 I slot print_timing: id 10 | task 67 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.55.347.541 I slot print_timing: id 11 | task 66 | n_gen =    148, tg =   3.37 t/s, tg_3s =   3.86 t/s
2.58.444.124 I slot print_timing: id  0 | task 77 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
2.58.444.746 I slot print_timing: id  1 | task 76 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
2.58.445.300 I slot print_timing: id  2 | task 75 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
2.58.446.051 I slot print_timing: id  3 | task 74 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
2.58.446.638 I slot print_timing: id  4 | task 73 | n_gen =    160, tg =   3.40 t/s, tg_3s =   3.87 t/s
